movieId,userId,tag
2465,370,PG-13:intense sequences of sci-fi violence and action
585,821,fantasy
602,111,Arnold Schwarzenegger
1227,548,franchise
995,761,CLV
623,54,gentle
2400,424,based on a book
675,538,father and son
1744,370,love story
1789,548,robots
2267,37,jennifer schwalbach smith
1845,289,Gene Hackman
434,775,James Stewart
127,300,post-apocalyptic
851,249,dark comedy
2277,592,Amy Smart
508,135,1970s
435,348,"havde lidt lyst til at udvise forsoning tendenser med alfred, og give den en 4'er, men den kunne ikke helt strÃ¦kkes til det. den strakte sig en anelse for langt ud i anden halvdel af filmen"
898,370,Native Americans
2353,89,murder
2166,729,fairy tales
2455,356,witty
610,670,british comedy
1544,11,setting:The Pentagon
1924,594,photography
2214,39,Futuristmovies.com
375,670,goth
1861,84,feel-good
653,300,murder
606,590,Alfred Hitchcock
263,300,Leslie Cheung
1486,133,Vin Diesel
175,300,Natalie Portman
2363,141,Daniel Mays
653,326,too long
2202,548,end of the world
2187,815,imdb top 250
1400,680,education
1316,684,owned
1976,206,comedy
2476,766,stylized
2082,71,Philip Seymour Hoffman
621,326,reflective
593,11,rape
2419,548,post-apocalyptic
2367,370,California
1259,54,enigmatic
2077,702,Errol Morris
1419,324,animation
2062,815,misinformation: disability
2139,548,journalism
2089,548,Biblical
1924,594,psychopaths
2280,834,future
1586,410,comedy
1570,300,scientologist
1707,197,oscar (best cinematography)
1453,285,Can't remember
586,516,Harrison Ford
1824,54,forceful
569,815,meaty
2453,775,interesting
2181,370,stylized
1080,163,Ralph Macchio
1766,40,soap opera
2237,424,Donald Sutherland
2435,127,fantasy
619,198,war
2395,680,small-mindedness
1832,369,surreal
1832,249,high school
1800,370,musicians
357,548,bad acting
302,119,true story
2111,11,assassin
298,197,franchise
645,448,dark humor
700,68,Stephen King
2351,370,ex-imdb top 250
2191,119,biopic
1725,809,teenagers
2209,670,super-hero
2478,424,cinematography
1712,761,CLV
1542,418,3.5
1783,766,imagination
2203,825,R
2195,418,1.5
2406,548,Bechdel Test:Fail
690,761,PAL VHS
2102,176,Uma Thurman
2242,370,witch
675,448,Nazis
2327,548,crude humor
626,548,racism
320,365,Halloween theme
2160,52,Disturbing
182,561,coincidences
847,548,based on a book
1568,54,HEROIC MISSION
2328,88,video games
454,548,New York City
1972,414,ghetto
442,326,atmospheric
1932,68,Miyazaki
1596,111,pretentious garbage about good things
2287,825,ClearPlay
2334,548,funeral
131,53,road movie
1790,123,b-grade
361,670,Sci-Fi
2209,88,superhero
101,825,R
2102,467,Uma Thurman
1996,649,comic book
646,285,K movie
855,775,dark fantasy
2454,775,Kenneth Branagh
1253,64,Will Smith
1039,369,based on a book
2256,467,Joseph Gordon-Levitt
1094,54,angry
1851,351,Ben Stiller
536,435,Quentin Tarantino
2476,354,Bill Murray
42,414,twist ending
2264,545,Be satisfied with your life little man
717,33,James Doohan
2322,761,Stereoscopic 3-D sequences
2153,526,Dreamworks
2296,448,Leonardo DiCaprio
2250,39,Futuristmovies.com
2166,701,drama
2204,58,redemption
2201,801,Quentin Tarantino
313,766,philosophical
1227,39,Futuristmovies.com
2407,831,sci-fi
984,761,Super-35 Blow-Up
903,815,headache
1355,548,consumerism
2435,98,multiple interpretations
2300,370,twists & turns
0,370,Pixar
1043,111,Betamax
1456,163,Whoopi Goldberg
513,176,breaking glass
1043,670,alternate reality
841,821,Clint Eastwood
2164,424,biography
2460,775,dieselpunk
1818,11,related:Mad Mad World
917,594,sports
1557,594,rabbi
2281,775,Hugh Jackman
1380,815,spies
624,89,artificial intelligence
2001,809,underwater
849,766,violence
1629,732,superhero
1094,370,prison
2040,127,music
1649,648,ZAZ
2453,11,time
392,54,tense
610,538,moon
475,548,Scotland
753,548,Soviet Union
1812,815,house
1377,258,H.P. Lovecraft
1010,548,based on a book
689,206,friendship
392,792,war
2441,320,To Watch
669,249,Quotable
1801,678,violence
2103,761,BD-Video
504,761,CLV
40,249,horror
718,548,space
2242,670,propaganda
671,761,BD-Video
240,435,Barry Sonnenfeld
2427,712,mystery
2172,548,heist
2435,424,Joseph Gordon-Levitt
2438,342,loneliness
818,571,future
2436,11,alter ego
2209,121,energy
1210,775,The Chosen One
42,841,New York City
1817,57,Oscar (Best Actor)
54,89,violence
1859,64,Josh Hartnett
2095,258,zombies
703,761,BD-R
2201,64,Robert Rodriguez
695,11,adapted from:book
2356,37,Philip Seymour Hoffman
2324,435,Ricky Gervais
1210,548,dystopia
433,786,Blake Edwards
472,775,small town
2161,66,almost too long
660,54,humorous
2274,141,Steve Coogan
2102,548,quirky
897,54,deliberate
2274,71,Robin Williams
656,45,biography
221,176,interesting
1518,761,BD-Video
2356,815,on dvr
1336,176,memory
2368,775,Liam Neeson
1499,370,delivery boy
209,548,based on a book
2363,11,Bechdel Test:Fail
1738,467,Ray Liotta
1031,163,Annie Potts
1244,289,Samuel L. Jackson
1270,594,crucifixion
2255,84,visually appealing
666,188,100 Greatest Movies
313,775,narrated
609,548,Vietnam
2138,300,Keira Knightley
607,123,cult classic
189,54,warm
930,670,Coming-of-Age
479,451,death
2253,250,imdb top 250
1720,761,VHS
2427,414,psychological
422,289,Al Pacino
1848,861,romance
503,67,animation
2006,370,twist
1336,810,Arnold Schwarzenegger
1248,369,existentialism
2484,424,cgi
2271,127,social commentary
1227,775,desert
438,54,urbane
176,824,Bibliothek
559,538,hunchback
2388,11,rape
1374,366,El dilema
2094,821,mystery
2044,815,RZA (composer)
2289,684,owned
2123,354,natural disaster
2145,809,quirky
2245,370,Paris
1530,111,cloning
1072,428,aliens
1783,761,DVD-Video
76,526,Biography
624,11,BFI modern classic
2412,548,nudity (topless)
855,35,post apocalyptic
1998,775,Carrie-Anne Moss
2441,678,Bruce Willis
2411,558,funny
2041,84,dwarf
1383,40,Mel Brooks
1207,643,Oscar (Best Actor)
1882,46,time travel
720,814,Gene Roddenberry
720,370,franchise
2418,821,dystopia
1359,11,autobiographical view
133,37,hilarious
289,448,hawk
2433,548,Pixar
2394,424,Clint Eastwood
1790,634,aliens
1943,678,romance
760,122,undercover cop
405,136,relationships
2476,354,Edward Norton
1118,761,Betamax
372,127,Jim Jarmusch
1546,815,Netflix Finland
770,365,80s soundtrack
2167,111,Nicolas Cage
1967,279,Musical
1220,6,Ei muista
2478,370,action
1998,218,cyberpunk
1646,435,Jenniphr Goodman
936,831,Jason Vorhees
42,852,storytelling
1406,105,Jimmy Stewart
893,275,Songs
40,561,psychology
1944,274,stupid
320,176,halloween
1410,814,Robert Redford
702,11,serial killer
2281,37,mythology
601,670,alien
54,390,Quentin Tarantino
189,698,Tim Robbins
857,548,short
878,548,directorial debut
400,380,suspense
1564,548,submarine
2030,661,Amazing Cinematography
2499,52,science fiction
588,775,military
1425,815,library
589,775,Nudity (Rear)
1705,825,ClearPlay
1722,595,unrealistic crap
2035,133,body horror
568,303,bittersweet
1581,821,James Bond
1538,548,fairy tale
785,428,deep
893,326,heroine
2016,423,Audrey Tautou
1656,127,social criticism
2237,435,Joe Wright
1319,289,Sam Raimi
29,300,time travel
984,548,talking animals
1439,370,Oscar Nominee: Supporting Actor
1063,176,Joan Cusack
1659,143,decadent
1885,182,neurotic new yorkers
533,289,Gene Hackman
2212,11,adapted from:comic
1868,814,Sally Kellerman
2155,775,pretentious
1800,424,queer
2118,231,cute
2005,815,library
2337,109,Morgan Freeman
2145,841,psychology
190,766,disturbing
868,176,John Malkovich
358,548,Roald Dahl
2463,258,historical
763,548,Russia
431,484,dancing
804,6,Ei muista
874,672,netflix
338,435,Ben Sharpsteen
1109,414,feel-good
416,670,gothic
2076,188,Playlist
2251,274,dark comedy
198,370,play within a movie
335,54,TRAPPED OR CONFINED
330,370,chick flick
289,448,martial arts
1343,424,teen
829,548,island
2072,571,imdb top 250
2270,188,Steve Carell
884,775,Zilla
219,548,talking animals
20,176,Sigourney Weaver
2450,680,alternate reality
1876,548,drugs
2220,2,'There's A Lotta These At Used Book Stores...Hmmm I Wonder Why It Sucks That Bad'
1945,815,multifaceted
391,351,great soundtrack
2340,764,toplist07
1432,414,multiple storylines
1333,548,homophobia
2288,815,pregnancy
2443,761,Stereoscopic 3-D
1224,761,BD-R
448,11,seeAlso:The Wizard of Oz (1939)
2288,548,dystopia
2493,592,Scarlett Johansson
1955,787,reviewed
547,594,Navy
1042,548,vampires
633,451,drugs
438,138,Alfred Hitchcock
1935,532,psychology
107,122,Sylvester Stallone
1846,786,annoying
528,88,black comedy
2201,852,storytelling
2160,249,Cary Elwes
1063,176,dreamlike
707,548,earnest
2156,139,fast jets
2326,11,Bechdel Test:Fail
690,133,suspense
2447,701,singing
1970,612,disturbing
1846,432,pacey
2216,435,Jim Jarmusch
434,45,overrated
952,761,BD-Video
968,775,battle of wits
2330,289,Christian Bale
1832,54,ominous
2369,548,imagination
129,467,ethan hawke
1909,29,WWII
696,188,100 Greatest Movies
570,424,French
1919,11,related:007 (series)
0,370,toys
702,424,Robert Englund
2072,54,JOURNEY OF SELF-DISCOVERY
2324,369,author:Neil Gaiman
2270,330,Toni Collette
2122,548,watch the credits
2201,373,Crime
1759,11,lousy acting
2087,562,short-term memory loss
2489,680,zero gravity
1608,821,Mel Gibson
1911,809,sci-fi
904,801,goofy
1972,370,Oscar Nominee: Adapted Screenplay
655,398,Mary Stuart Masterson
2102,679,stylized
2317,815,jukebox
1637,54,sexy
1316,249,violence
2300,370,stabbing
1182,655,based on a book
140,370,Ang Lee
2478,11,setting:Scotland
1338,297,teenager
1699,548,high school
2265,592,funny
916,435,William Friedkin
2201,370,adapted from:comic
1112,435,Merian C. Cooper
2061,435,Takeshi Kitano
440,45,Tony Curtis
811,435,Jason Mewes
1259,370,Nicole Kidman
2238,176,goretastic
2461,701,Emma Stone
2190,424,Wes Anderson
1280,484,sadism
915,761,DVD-Video
1239,548,England
2306,678,space
1824,532,San Francisco
91,548,franchise
1935,532,Anthony Hopkins
219,670,father-son relationship
2461,592,Julianne Moore
2289,370,eerie
2206,538,giraffes
42,424,imdb top 250
606,119,horror
1848,414,uplifting
2387,380,Oscar (Best Picture)
2096,249,thought-provoking
2469,775,flashback overload
584,616,music
2415,76,music
958,176,atmospheric
1780,858,Gay stereotypes
2071,20,martial arts
1273,689,seen 2010
570,399,dark comedy
2096,76,sci-fi
185,730,magic
2337,90,morality
2155,484,Complicated
796,532,Mel Gibson
2475,370,R
523,424,Robert De Niro
2396,548,Oscar (Best Actress)
2376,11,mentor/trainer
1220,52,interesting
1432,414,great acting
1832,249,time travel
824,370,Edgar Award (Best Motion Picture)
377,53,hilarious
1419,111,Tim Allen
2212,212,movie to see
938,11,character:Michael Myers
2428,801,alternate reality
588,752,violent
988,141,Bill Thompson
825,702,witty
327,424,fascinating
1813,141,Amy Smart
269,289,Jean-Claude Van Damme
601,532,sci-fi
2109,562,dragon
2215,370,amusing
2266,448,Keira Knightley
584,435,Irvin Kershner
148,54,visceral
2130,594,McDonalds
2013,548,alternate reality
221,176,Robert Englund
575,370,Oscar (Best Supporting Actress)
2129,330,quirky
184,815,white
2001,111,lost child
2297,370,Deep
812,64,RRobert Carlyle
2331,815,childhood
2381,548,buddy movie
2449,33,Roger Deakins
1676,775,gay stereotypes
2209,121,Christian Bale
2120,775,Bechdel Test:Pass
1792,133,dumb but funny
1294,758,slapstick humor
906,775,German perspective
2205,775,Ewan McGregor
1523,435,Stanley Kramer
621,815,National Film Registry
595,188,100 Greatest Movies
129,809,quirky
1443,793,based on a true story
954,435,Ronald Neame
912,633,stage
2465,370,Robert Downey Jr.
2154,615,existentialism
771,330,fashion
1183,423,True Story
1394,787,reviewed
979,435,Bruce Beresford
1378,815,To See
829,370,atmospheric
2395,571,gripping
536,307,nonlinear
1531,548,insanity
2454,678,Chris Hemsworth
639,548,directorial debut
2286,424,Martin Scorsese
1676,761,BD-Video
522,418,1
1601,815,archery
1073,548,based on a book
643,548,coming of age
1890,834,baseball
189,558,thought-provoking
151,11,character based on real person:Marilyn Monroe
1425,815,on dvr
494,435,David Swift
2411,249,creative
302,548,Holocaust
2286,370,remake
2067,775,prophecy
2145,76,Zach Braff
1518,526,superhero
754,249,Christopher Guest
378,532,biological warfare
1390,670,controversial
2277,370,Jinni Top Pick
1567,84,teenage pregnancy
446,761,CLV
2408,370,shootout
2028,370,obsessive compulsive disorder
211,54,stylized
29,590,R
260,448,drugs
1285,548,great ending
624,290,Classic Thriller
1832,54,quirky
1234,787,reviewed
213,699,Oscar (Best Picture)
520,424,musical
2072,571,Tim Burton
655,767,poignant
586,670,Nazis
2283,54,gruesome
1498,125,baseball
1969,11,Nazis
2368,435,Pierre Morel
372,289,Lance Henriksen
1952,697,cinematography
982,594,Disney
1243,548,time travel
2176,176,romance
214,330,Hugh Grant
441,824,Bibliothek
2181,37,meandering
681,815,playground
95,435,Clint Eastwood
1577,194,montage
960,821,Sting
1759,814,Eli Wallach
343,484,crime
1017,761,CLV
2,548,sequel
1257,141,Ray Liotta
1427,435,Nathan Juran
392,670,aviation
1972,370,nightclub
1533,222,Star is discovered
189,122,twist ending
2256,46,annoying
2364,424,Heath Ledger
2191,111,Leonardo DiCaprio
1763,11,computer cracker
666,603,hard to rate
2417,446,humor
302,535,disturbing
851,168,the dude
2075,414,war
1781,766,Robert De Niro
1239,380,Julia Roberts
2367,758,Iron Man
1542,279,Russian
1517,815,ninja
2488,678,predictable
1675,200,want to see again
2050,64,Jon Favreau
630,249,cheesy
620,775,Scott Joplin
597,535,drama
1905,307,psychology
287,535,Drama
1535,766,quirky
2170,249,unrealistic dialogue
957,370,author:Felix Salten
1279,643,Oscar (Best Cinematography)
586,670,adventure
513,319,humorous
90,548,Scotland
675,424,Harrison Ford
1463,424,sports
2063,176,Laura Dern
691,326,Griffin Dunne
656,643,Oscar (Best Actor)
1065,163,Demi Moore
2384,206,cosmetic surgery
2278,775,stage magic
2044,858,amazing fight choreography
1259,127,atmospheric
2278,538,mysterious
2202,528,end of the world
2375,424,plot twist
2333,37,Jena Malone
1390,815,male nudity
2096,76,Charlie Kaufman
2428,388,incoherent
433,761,BD-R
1316,88,dark comedy
2123,766,apocalypse
786,563,Humor!
1581,761,BD-Video
1752,111,Knoll
91,164,sequel
2224,54,atmospheric
1194,548,far future
1842,435,Criterion
1018,505,Mike Nichols
487,548,based on a book
2427,831,twist ending
1377,424,campy
1505,761,Spherical Blow-Up
2497,354,sci-fi
91,613,seen at the cinema
1920,548,ZAZ
582,54,claustrophobic
889,54,wintry
1040,645,children's story
1856,458,mathematics
329,176,sadistic
2485,678,fighting
1269,761,DVD-RAM
80,200,lyrical
16,52,Robert Rodriguez
2187,556,disability
118,54,cynical
2353,492,Johnny Depp
1373,50,detective
510,176,Kurt Russell
1995,680,Documentary
2245,370,covert operation
2179,548,based on a book
1869,116,rad
397,761,CLV
5,289,Al Pacino
2459,266,cinematography
920,737,inspirational
139,133,goofy
951,815,library vhs
2397,532,stripper
133,770,cynical
1540,548,nudity (topless)
69,121,french
1120,307,espionage
610,594,moon
2420,421,based on a book
2491,548,dragons
687,821,Paul Newman
1535,505,Stephen Frears
2112,370,matchmaking
1403,370,007
1663,741,hip hop montage
1461,163,Ed O'Neill
483,548,nudity (topless)
593,180,need to own
1565,16,Kirsten Dunst
2427,629,psychological
391,424,drugs
563,548,Oscar (Best Documentary Feature)
839,548,college
787,249,overtly ideological
622,702,existentialism
2364,16,dystopia
655,52,Quirky
2300,370,murder
721,548,based on a TV show
759,414,Surreal
597,645,action
2420,571,corporate america
2044,492,violent
2056,198,hilarious
925,163,Jessica Tandy
1737,525,twist ending
693,138,unusual
1940,37,grim
2393,33,National Board of Review of Motion Pictures Award for Breakthrough Performance by an Actress
525,670,surreal
2136,370,newspaper theme
607,11,neo-Nazis
503,535,animation
2096,548,amnesia
2382,815,jungle
1932,615,anime
631,40,classic
2378,809,social commentary
2125,699,harry potter
176,182,dark comedy
1449,435,Gene Quintano
340,761,Anamorphic Blow-Up
754,548,small town
2478,370,Seen 2012
986,775,redemption
176,775,gangsters
1932,54,dreamlike
903,716,existentialism
497,548,based on a book
988,670,pirates
1967,88,jazz
442,737,romance
2250,670,historical
2477,16,funny
915,852,loneliness
2391,825,R
1490,370,author:Michael Chabon
1792,212,movie to see
2451,52,visually appealing
1346,435,Robert Aldrich
233,688,action
2245,548,politics
942,548,Christianity
2116,815,lust
114,163,Sandra Bullock
2398,11,sad
948,369,adventure
586,766,Nazis
1966,64,Tom Hanks
1355,436,cinematographer:Jeff Cronenweth
40,337,religion
152,809,New Orleans
132,761,CLV
2367,52,superhero
1210,548,cult film
606,815,domineering mother
1094,815,skinhead
1961,548,gangsters
1514,54,easygoing
1940,424,tear jerker
233,11,espionage
1210,467,Laurence Fishburne
29,138,genetics
1184,173,slackers
1854,369,atmospheric
1658,141,Donald Faison
2473,206,touching
979,612,Oscar (Best Actor)
2342,370,author:Cormac McCarthy
1285,54,understated
624,133,future
722,21,comic book
2438,57,computers
2222,428,Nicolas Cage
1355,561,violence
2475,176,Unpredictable
1978,592,Jennifer Garner
2229,249,quirky
2324,548,magic
996,370,Nudity (Rear)
1382,761,VHS
1414,121,fun
54,761,CLV
1797,307,Dynamic CGI Action
1380,188,100 Greatest Movies
2291,821,Alan Rickman
1407,605,Classic
443,198,imdb top 250
1063,176,Robin Williams
2358,2,blair gojira project
2032,176,bad acting
2297,815,on dvr
2314,775,pretty bad
395,548,Paris
977,815,epic
2151,297,road movie
585,52,whimsical
1538,11,childhood recaptured
1089,307,alternate reality
442,633,dialogue
832,473,Bearable Disney
951,127,science fiction
2398,88,cinematography
29,118,sci-fi
123,815,1950s
2484,775,depressing
693,775,Alfred Hitchcock
2158,127,depression
585,810,Christopher Guest
786,337,Will Smith
1912,548,Aborigines
667,11,murder
958,448,samurai
29,548,genetics
36,761,CLV
2407,637,Ryan Reynolds
588,435,Best of Rotten Tomatoes: All Time
2205,810,space opera
1153,133,mentor
556,761,Betamax
213,356,inspirational
2466,652,comedy
40,351,Kevin Spacey
1439,370,murder
1656,421,musical
1801,815,genetic engineering
786,787,reviewed
2198,702,heaven and hell
1529,594,evolution
391,369,social commentary
649,814,Bill Murray
1472,335,better than the show
643,326,coming of age
2289,133,Christian Bale
846,42,Bond
1094,307,racism
1210,716,cyberpunk
395,548,France
1370,446,John Malkovich
2189,594,roald dahl
812,590,striptease
1180,643,revenge
14,435,Martin Scorsese
845,84,epic
606,109,horror
2217,370,wilderness
831,451,russian mofia
2309,538,Comic Book adaption
1355,88,Helena Bonham Carter
1173,40,1950s
2313,680,Dublin
2066,121,Epic
2298,761,DVD-Video
786,12,conspiracy theory
1210,11,office worker discovers secret identity
915,435,Oscar (Best Picture)
536,424,cult film
2144,111,violent
2186,775,Nudity (Animated)
222,766,sexism
787,678,unpredictable
1959,814,John Rhys-Davies
2395,196,Kevin Bacon
891,448,Comedy
2033,809,cult film
77,561,mental illness
397,163,Bowling
1025,761,DVD-Video
2049,775,Keanu Reeves
375,809,bad ending
435,176,tense
435,45,Jimmy Stewart
1923,111,X-Files!!
2196,135,fantasy
1490,815,university
71,548,Texas
1542,300,meditative
1323,548,Holy Grail
694,761,BD-R
1683,548,sword fight
2251,801,corporate greed
1580,176,egypt
2337,590,rated-R
971,645,children
511,448,Reese Witherspoon
1826,89,Horror
2158,258,road trip
2161,548,biography
1832,421,stylish
1515,11,setting:LA
1368,54,tense
1371,815,forest
1815,532,evil
1597,548,television
2481,163,Halle Berry
2405,655,satire
2152,370,anti-hero
694,775,Steve McQueen
2224,11,post-apocalyptic
337,815,National Film Registry
2309,370,scope
2433,548,franchise
1980,138,Will Ferrell
1959,670,war
864,361,Jack Nicholson
422,370,stylized
254,824,Bibliothek
336,787,reviewed
1501,786,complex morality
1430,445,family
0,761,2009 reissue in Stereoscopic 3-D
800,435,Gus Van Sant
2299,107,deal with the devil
1998,616,Hugo Weaving
1292,325,MontyPython
855,548,amnesia
2164,548,psychology
2029,79,drama
2215,370,friendship
1544,821,Gene Hackman
1272,326,lavish
1074,54,lyrical
1749,141,John Hannah
89,716,NASA
2484,226,great photograpy
1545,814,Jack Lemmon
2432,634,action
1901,548,sensual
2411,370,friendship
1915,775,it thought it was funny but it wasn't
2417,37,humor
2175,279,Studio Ghibli
1970,198,cynical
2234,548,serial killer
1656,479,facebook rec
1970,435,Martin Scorsese
1778,643,Oscar (Best Actress)
2435,388,predictable
1053,336,Edward Norton
1402,435,Tim Burton
475,775,train
189,548,directorial debut
2150,435,Kerry Conran
189,661,thought-provoking
2281,37,Music
1574,246,classic
1848,76,whimsical
775,258,satirical
1058,424,Sigourney Weaver
631,198,need to own
2246,300,Disgusting
2288,370,Oscar Nominee: Editing
444,702,Oscar (Best Picture)
240,548,based on a TV show
1043,11,dwelling as character
953,300,time travel
1778,370,Anthony Hopkins
570,5,_jur
971,548,miniaturization
2158,258,dark comedy
41,837,Disney
2334,88,brother-brother relationship
1823,561,disturbing
2487,370,screenwriter:Shane Black
388,50,Carl Hiaasen
1826,634,Atmospheric
1091,793,World War II
1789,548,artificial intelligence
444,370,family
681,326,cult film
2462,370,tranquilizers
2325,11,cameo:Tom Hanks
2382,11,why everyone hates the US
2435,88,cliche
2364,716,Batman
2192,813,Lovely
29,118,post-apocalyptic
2078,548,nudity (rear)
1911,11,adultery
593,11,psychiatry
2096,300,Jim Carrey
1998,775,martial arts
2155,307,time travel
2397,815,stripping
1285,54,enigmatic
2460,194,torrential downpour
1812,561,atmospheric
1682,46,comics
1980,138,Vince Vaughn
1850,176,remake
2241,127,clever
176,758,Mafia
276,775,Sam Neill
798,548,terrorism
2415,88,cliche
1838,64,Bobby Farrelly
1642,11,plot:Bildungsroman but with middle-aged character
606,138,Anthony Perkins
1998,758,Keanu Reeves
1642,11,protagonist is recently widowed
2009,815,subterranean
758,435,Stephen Kessler
2364,424,Christian Bale
2259,285,K movie
787,249,superficial supporting characters
2444,370,screenwriter:Mark Heyman
2068,815,National Film Registry
2438,815,on dvr
1043,435,Tim Burton
2154,198,Mark Wahlberg
615,561,AFI 100
693,667,Alfred Hitchcock
1463,123,tom hanks
1311,435,Albert Brooks
1959,414,magic
1048,369,characters
2410,37,fallout taste
77,370,New York City
1952,330,cinematography
1753,548,fairy tale
1823,561,mystery
1346,712,ensemble cast
332,510,time travel
1632,761,CLV
2155,424,mindfuck
474,786,funny as hell
1094,670,Nazis
1829,121,thought-provoking
1832,139,expect school
582,90,psychology
2066,815,Netflix Finland
1839,670,fantasy
140,136,relationships
760,163,Bruno Kirby
313,188,100 Greatest Movies
451,138,narcissism
54,815,snake
2430,834,superhero
2311,548,sequel
9,111,Amazing kung fu
1841,444,Depressing
54,198,Tarantino
1443,182,girlie movie
620,451,betting
585,831,Cary Elwes
1849,548,high school
1779,538,CG
1293,111,flying
2036,370,true story
2355,88,religion
1588,326,ominous
232,123,Jean-Claude Van Damme
2209,766,Christian Bale
612,528,jealousy
2328,370,nerds
1391,531,historical
593,548,Anthony Burgess
1860,326,Period piece
1478,594,figure skating
1219,54,humorous
1450,45,1980s
2378,809,alan moore
490,11,Herbie The Love Bug (series)
570,809,directorial debut
642,814,Stephen King
2266,670,treasure
304,467,Maggie Smith
1416,761,70mm
841,141,Jack Thompson
818,303,dystopia
1826,127,England
843,111,school
2302,815,shallow
2474,424,original
1135,249,silly
189,736,prison escape tenacity accountant
1892,761,BD-Video
42,825,ClearPlay
2356,370,politics
1972,370,Brazil
882,424,based on a book
2274,548,whimsical
2445,548,Harry Potter
653,300,screwball comedy
1087,702,dark humor
864,643,Oscar (Best Actor)
2268,764,global warming
584,319,Star Wars
2222,370,political
2364,571,thriller
693,40,monster
2334,370,tale of three brothers
1261,111,ghosts
2394,122,Clint Eastwood
1526,815,riot
2333,815,materialism
2044,824,Bibliothek
2012,815,sword fight
874,370,con artists
1682,815,rehabilitation
773,796,Underrated
1932,399,fantasy
1950,435,Phillip Noyce
1889,603,drop rating to 4?
1511,176,Bechdel Test:Pass
1202,538,video game adaptation
2364,215,Gary Oldman
453,138,sci-fi
2107,54,goth
2237,424,chick flick
1525,548,allegory
841,532,graveyard
1044,761,DVD-Video
2408,176,Star Trek
509,670,Stoner Movie
2043,212,BGAB LRC
1808,758,kung fu
719,370,revenge as motive
510,435,Richard Rich
601,532,dark
1248,594,alternate endings
2364,801,Gary Oldman
1652,275,high school
634,594,POW
40,569,psychology
1331,141,Charles S. Dutton
2483,592,love
2104,206,fashion
2041,766,melancholy
2365,424,based on a true story
1850,409,fantasy
1824,532,police
1768,831,Angelina Jolie
133,111,hilarious
1723,173,Cult classic
1371,645,Hayao Miyazaki
145,594,France
846,307,espionage
1849,643,spoof
474,54,witty
5,370,adultery
2300,226,british comedy
2317,786,homage
754,766,mockumentary
199,809,Johnny Depp
2300,448,parody
2160,133,Gory
1008,11,author:George Orwell [Eric Blair]
1464,761,CLV
1823,53,disturbing
1171,787,reviewed
585,141,Wallace Shawn
1530,532,drama
2166,571,Biography
1917,370,Jude Law
1515,370,Oscar Nominee: Lead Actress
2344,548,religion
1261,163,Rick Moranis
962,342,stylized
717,548,far future
1721,212,Bob*ola
907,814,Charles Laughton
2216,839,Disappointing from two geniuses
662,814,Gene Wilder
2246,176,annoying
2072,841,imagination
1467,177,tom cruise
2334,548,trains
600,89,Robert De Niro
693,168,birds
1661,176,horror comedy
628,180,need to own
1565,542,psychology
1653,45,dark comedy
2486,423,Quentin Tarantino
1531,548,alternate reality
1106,448,corruption
872,11,Based on a TV show
28,548,great soundtrack
1986,307,dialogue driven
2347,775,James Marsden
1578,435,Best of Rotten Tomatoes: All Time
604,54,stylized
1373,258,detective
1320,821,the beatles
950,53,dystopia
2041,571,depression
2306,809,cinematography
2252,173,Nazis
1682,307,twist ending
493,141,Hayley Mills
1597,548,based on a book
965,775,mad scientist
456,451,romance
